Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What should I do now?	If you have any common symptoms of COVID-19 (coronavirus), [self-isolate (stay in your room)](https://www2.hse.ie/conditions/coronavirus/self-isolation/how-to-self-isolate.html) and [phone a GP](https://www2.hse.ie/services/find-a-gp/) straight away. Your GP will tell you if you need a free COVID-19 test.\n\n[Read about how to get tested for COVID-19](https://www2.hse.ie/conditions/coronavirus/testing/how-to-get-tested.html).\n\nOther people in your household will need to [restrict their movements (stay at home)](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/if-you-live-with-someone-who-has-coronavirus.html).	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":1,"qnaId":1,"displayText":"Symptoms of COVID-19"}]	2
What should I do if I have COVID symptoms?	If you have any common symptoms of COVID-19 (coronavirus), [self-isolate (stay in your room)](https://www2.hse.ie/conditions/coronavirus/self-isolation/how-to-self-isolate.html) and [phone a GP](https://www2.hse.ie/services/find-a-gp/) straight away. Your GP will tell you if you need a free COVID-19 test.\n\n[Read about how to get tested for COVID-19](https://www2.hse.ie/conditions/coronavirus/testing/how-to-get-tested.html).\n\nOther people in your household will need to [restrict their movements (stay at home)](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/if-you-live-with-someone-who-has-coronavirus.html).	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":1,"qnaId":1,"displayText":"Symptoms of COVID-19"}]	2
Compare symptoms of COVID-19, flu and cold	If you are in doubt about any symptoms you have, phone your GP. They will discuss your symptoms with you and advise you on any steps you may need to take.	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	true	[{"displayOrder":0,"qnaId":5,"displayText":"When a fever could be something else"}]	4
When a fever could be something else	Some people may get a mild fever for a couple of days after they get the flu vaccine. This is normal.\n\nFever is also a symptom of meningitis.\n\nContact your GP straight away if you have a fever and other symptoms of meningitis:\n* severe headache\n\n* stiff neck\n\n* sensitivity to light	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	true	[]	5
Protect yourself and others from COVID-19	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
How do I stop myself getting COVID-19?	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
How do catch COVID-19?	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
How do I catch COVID?	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
How do i stop myself getting COVID?	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
What can I do to stop the spread of COVID-19?	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
What can I do to stop the spread of COVID? 	COVID- 19 (coronavirus) is spread in sneeze or cough droplets.\n\nTo infect you, the virus has to get from an infected person's nose or mouth into your eyes, nose or mouth. This can happen if someone who has the virus coughs or sneezes near you. Or if you touch something they have been in contact with, such as an object or a surface.\n\nIt is important that you:\n\n*   wash your hands properly and often\n*   practice social distancing\n*   cover coughs and sneezes\n*   [follow the current Government restrictions](https://www.gov.ie/en/publication/2dc71-level-5/): Follow the advice on this page as strictly as possible and encourage others to do this too.\n\nSelect an Option	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[{"displayOrder":1,"qnaId":8,"displayText":"People at higher risk from COVID-19"},{"displayOrder":2,"qnaId":9,"displayText":"Wash your hands"},{"displayOrder":3,"qnaId":10,"displayText":"Face coverings"},{"displayOrder":4,"qnaId":11,"displayText":"Sneezing and coughs"},{"displayOrder":5,"qnaId":12,"displayText":"Sharing things"},{"displayOrder":6,"qnaId":13,"displayText":"Social distancing"},{"displayOrder":7,"qnaId":15,"displayText":"Meeting other people"},{"displayOrder":8,"qnaId":19,"displayText":"Travel"},{"displayOrder":9,"qnaId":20,"displayText":"Work"},{"displayOrder":10,"qnaId":21,"displayText":"Social distancing at work"},{"displayOrder":11,"qnaId":23,"displayText":"Use the COVID Tracker app"}]	6
People at higher risk from COVID-19	COVID-19 can make anyone seriously ill. But for some people, the risk is higher. People at higher risk from COVID-19 should take extra care to protect themselves.\n\n[Read advice for people at very high risk of COVID-19](https://www2.hse.ie/conditions/coronavirus/people-at-higher-risk.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	8
Who is at risk from COVID?	COVID-19 can make anyone seriously ill. But for some people, the risk is higher. People at higher risk from COVID-19 should take extra care to protect themselves.\n\n[Read advice for people at very high risk of COVID-19](https://www2.hse.ie/conditions/coronavirus/people-at-higher-risk.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	8
Who is at risk from COVID-19?	COVID-19 can make anyone seriously ill. But for some people, the risk is higher. People at higher risk from COVID-19 should take extra care to protect themselves.\n\n[Read advice for people at very high risk of COVID-19](https://www2.hse.ie/conditions/coronavirus/people-at-higher-risk.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	8
People at higher risk from COVID	COVID-19 can make anyone seriously ill. But for some people, the risk is higher. People at higher risk from COVID-19 should take extra care to protect themselves.\n\n[Read advice for people at very high risk of COVID-19](https://www2.hse.ie/conditions/coronavirus/people-at-higher-risk.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	8
Wash your hands	Washing your hands properly and often will help to stop the spread of COVID-19.\n\nUse soap and water or alcohol hand sanitiser to clean your hands:\n\n*   after coughing or sneezingif you were in contact with someone who has a fever or respiratory symptoms (cough, shortness of breath, difficulty breathing)\n*   before and after being on public transport, if you must use it\n*   before and after being in a crowd (especially an indoor crowd)\n*   when you arrive and leave buildings including your home or anyone else's home\n*   before having a cigarette or vaping\n*   even if your hands are not visibly dirty\n*   after toilet use\n\nKeep your hands in good condition. Moisturise them often. Any basic product that is not perfumed or coloured is OK.\n\n[Read about how to wash your hands properly](https://www2.hse.ie/wellbeing/how-to-wash-your-hands.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	9
How do I wash my hands?	Washing your hands properly and often will help to stop the spread of COVID-19.\n\nUse soap and water or alcohol hand sanitiser to clean your hands:\n\n*   after coughing or sneezingif you were in contact with someone who has a fever or respiratory symptoms (cough, shortness of breath, difficulty breathing)\n*   before and after being on public transport, if you must use it\n*   before and after being in a crowd (especially an indoor crowd)\n*   when you arrive and leave buildings including your home or anyone else's home\n*   before having a cigarette or vaping\n*   even if your hands are not visibly dirty\n*   after toilet use\n\nKeep your hands in good condition. Moisturise them often. Any basic product that is not perfumed or coloured is OK.\n\n[Read about how to wash your hands properly](https://www2.hse.ie/wellbeing/how-to-wash-your-hands.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	9
Face coverings	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
What sort of face mask should I wear?	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
Should I cover my face?	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
When should I cover my face?	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
How should I cover my face?	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
Why should I wear a mask?	Wear a face covering on public transport, in shops and other indoor settings. This is the law. You may be fined or refused entry if you do not wear one.\n\nYou should also wear a face covering in crowded workplaces, places of worship and in busy outdoor spaces where a lot of people gather.\n\n[Read more about face coverings, medical masks and disposable gloves](https://www2.hse.ie/conditions/coronavirus/face-coverings-masks-and-covid-19/when-to-wear.html)	https://www2.hse.ie/conditions/coronavirus/protect-yourself-and-others.html		[]	false	[]	10
